id;title;relation;name;phone_number;customer_id
1;MS;FATHER;hard drive Applications action-items;Checking Account;1
2;MS;FATHER;matrix connecting;National Central African Republic Pennsylvania;2
3;MS;MOTHER;invoice quantify application;Intelligent Optimized;3
4;MR;SIBLING;Granite;Computer world-class Steel;4
5;MS;FATHER;workforce;Small;1
6;MS;SPOUSE;transmit Reduced;Intelligent Applications Analyst;2
7;MR;CHILD;South Dakota Flat;Jewelery architect e-enable;3
8;MR;MOTHER;Springs;Fantastic Buckinghamshire;4
9;MS;SIBLING;Decentralized pixel full-range;Global;1
10;MS;FATHER;ubiquitous Fantastic Rubber Chicken;invoice Distributed;2
